User,Item,RMSE
carat,color,1.068582223057879
carat,clarity,1.048690452399952
carat,depth,0.8140032190603921
carat,table,0.964893646177378
carat,price,1.9808527586297968
carat,x,0.9435507737174865
carat,y,0.9858690380162203
carat,z,0.9216698297447443
color,carat,1.071299213665936
color,clarity,1.095478531050681
color,depth,0.8048063649758849
color,table,0.9848858427491682
color,price,1.8864512502021809
color,x,1.0707575605009816
color,y,1.1040644106366826
color,z,1.0983816207545416
clarity,carat,1.0520038205689373
clarity,color,1.095415972393182
clarity,depth,0.8002914585257258
clarity,table,0.9732264916026443
clarity,price,1.8603812429154218
clarity,x,1.0605817383846665
clarity,y,1.0844823461696718
clarity,z,1.0860616477971856
depth,carat,0.8323551522347885
depth,color,0.8048073484468707
depth,clarity,0.8003848075392803
depth,table,0.6485625193950202
depth,price,2.0572965884664547
depth,x,0.9090691100255873
depth,y,0.9380368858706891
depth,z,0.850924834184648
table,carat,0.9637986767304892
table,color,0.9844878369049435
table,clarity,0.9723652344396293
table,depth,0.6472030487677115
table,price,1.937300410433941
table,x,0.9709375280853376
table,y,1.0069408183932085
table,z,0.9822926174241399
price,carat,1.33362465483491
price,color,1.3288257776417083
price,clarity,1.3306385104641658
price,depth,1.0050087591976842
price,table,1.197334119508234
price,x,1.3315784627510996
price,y,1.3737670705861225
price,z,1.359427569340463
x,carat,0.9390591476550201
x,color,1.06641278868031
x,clarity,1.0514785567805691
x,depth,0.8382569860894726
x,table,0.9590386905327697
x,price,2.300033427022466
x,y,1.1106738193227492
x,z,0.8752267320802496
y,carat,0.9919253670456558
y,color,1.0961985088930544
y,clarity,1.0761743853405146
y,depth,0.857903732167195
y,table,0.9977536490122629
y,price,2.3135899380776586
y,x,1.1070180151857185
y,z,0.9381734014565803
z,carat,0.9247132250606498
z,color,1.0958852848564689
z,clarity,1.085100335786279
z,depth,0.825573506969586
z,table,0.9835509254912405
z,price,2.277671559754569
z,x,0.9016283398960317
z,y,0.951298208865081

