User,Item,RMSE,ErrorPercentage
carat,color,1.0679817639775258,0.7281541330018645
carat,clarity,1.0496202757241007,0.7106898694841517
carat,depth,0.8103930609154518,0.5243485291373842
carat,table,0.9672669512396556,0.5815818927994031
carat,price,2.0319263561159313,0.690462911321807
carat,x,0.9556465590323372,0.6106205695808979
carat,y,0.9905403361614039,0.6498383486694852
carat,z,0.9221877270051808,0.601753949496206
color,carat,1.071541173797833,0.7297078931013051
color,clarity,1.0917365152504785,0.7361784072555597
color,depth,0.7957807313204924,0.6016659414434015
color,table,0.9848747334538877,0.7325046612802983
color,price,1.9295585663190262,0.7026763311959855
color,x,1.075013760850737,0.6974142217802088
color,y,1.100798007865361,0.7167184586699814
color,z,1.0962451039505916,0.7267640658999067
clarity,carat,1.0526865840162842,0.7135487880671224
clarity,color,1.0916693692103572,0.7371102000248478
clarity,depth,0.7913900646860687,0.5794119475352769
clarity,table,0.9730764476894046,0.6626476072094468
clarity,price,1.9185457533036239,0.6944521884583217
clarity,x,1.0642082803717705,0.6838637493784187
clarity,y,1.0806929690487677,0.6962088253573648
clarity,z,1.0832143122582218,0.7132110662107554
depth,carat,0.8360929740236429,0.5274581752596554
depth,color,0.7957089317948162,0.5954497420277243
depth,clarity,0.7913963561309966,0.5810281593833531
depth,table,0.648326733202805,0.32757012252005724
depth,price,2.1208582027164877,0.7705238194880379
depth,x,0.9450521280494959,0.5506002363625054
depth,y,0.9610833297690177,0.5516512220909261
depth,z,0.8588288731960189,0.5325370162996143
table,carat,0.965381017109576,0.5812709861957468
table,color,0.9843962111991069,0.7369173399627098
table,clarity,0.972243753032898,0.6773151025481665
table,depth,0.647387235896521,0.3307419615647739
table,price,1.9921515014284406,0.6742661925678031
table,x,0.9824109701287153,0.5407338308457711
table,y,1.0062197399469186,0.5746175848775028
table,z,0.9920093840034369,0.6058966225041985
price,carat,1.3579499684238208,0.6367122141662019
price,color,1.3711628155544175,0.6643434625034849
price,clarity,1.3498433572154838,0.6542375243936437
price,depth,1.0325250690758587,0.5772476808258352
price,table,1.203438681661744,0.589416440075298
price,x,1.3771208267850428,0.6676661320688934
price,y,1.380892633409778,0.6721288613067429
price,z,1.3804804980378553,0.6645746164574616
x,carat,0.9472544412343668,0.6093147618455416
x,color,1.0665931450060337,0.6963575335653903
x,clarity,1.0534612370339012,0.6821233217304824
x,depth,0.8457153470964615,0.5276481930708465
x,table,0.9648602155276597,0.5392412935323383
x,price,2.354609535258826,0.8012690886270134
x,y,1.1185936082547088,0.6754538671972147
x,z,0.888426033108281,0.541705542078746
y,carat,0.9905742497256738,0.6496518279035066
y,color,1.0921754873661464,0.7154754505904288
y,clarity,1.071073880806302,0.6957737725295214
y,depth,0.8620292321166312,0.5339884321164251
y,table,0.9934484202371209,0.5733117771421465
y,price,2.3540456683612834,0.7992469144411128
y,x,1.1129073958371725,0.6740860482467048
y,z,0.9421560602742116,0.5743516387835065
z,carat,0.9275229184876991,0.605361363353651
z,color,1.095433731337353,0.7238420889027044
z,clarity,1.0818196636739559,0.7147653092943737
z,depth,0.82263778138609,0.5233296005972378
z,table,0.9919915080555932,0.6099396653604529
z,price,2.330226747645244,0.7855648535564853
z,x,0.9133754576323653,0.5438825651551906
z,y,0.9634608406559522,0.5766527769139872

