User,Item,RMSE
carat,color,0.27760887094989084
carat,clarity,0.2205271673995467
carat,cut,0.301743345814623
carat,depth,0.3119517333000221
carat,table,0.3140443883452014
carat,x,0.3660837467538865
carat,y,0.37322632613299916
carat,z,0.34628236536281604
color,carat,0.28326546488577226
color,clarity,0.8305366457271476
color,cut,0.843944708728026
color,depth,0.8506008498811114
color,table,0.8409666800992804
color,x,0.2963523013452452
color,y,0.284456789910488
color,z,0.29539502352636976
clarity,carat,0.2320732216674535
clarity,color,0.8304987999688683
clarity,cut,0.849401802147395
clarity,depth,0.8578739641219216
clarity,table,0.849519922203577
clarity,x,0.24253483084212749
clarity,y,0.2411068939709089
clarity,z,0.24135292610814804
cut,carat,0.30196652249589284
cut,color,0.843945294305488
cut,clarity,0.8494381241735935
cut,depth,0.8593133370588649
cut,table,0.8546838213137113
cut,x,0.3100498460817297
cut,y,0.305233162720094
cut,z,0.31370328078172566
depth,carat,0.3347766798473893
depth,color,0.8500795752575003
depth,clarity,0.8570039776204934
depth,cut,0.8589769289695136
depth,table,0.8607841112440421
depth,x,0.37929826253773496
depth,y,0.3706686832527279
depth,z,0.34000699510238525
table,carat,0.3176827649935218
table,color,0.8414693824626576
table,clarity,0.8495936132233796
table,cut,0.8549255910652894
table,depth,0.8617541424453813
table,x,0.3256917767599714
table,y,0.321018600315131
table,z,0.3313558768205649
x,carat,0.37446978989351004
x,color,0.2866739611796327
x,clarity,0.2326493425481982
x,cut,0.30898039745126366
x,depth,0.3322648609901619
x,table,0.319002111561439
x,y,0.362023776929158
x,z,0.38604725181208316
y,carat,0.37092722617751245
y,color,0.2764482654622989
y,clarity,0.22627629879471683
y,cut,0.3039648761696665
y,depth,0.32884230129556224
y,table,0.31482654159977663
y,x,0.37385139413593105
y,z,0.3773880900039099
z,carat,0.35847583670105493
z,color,0.2926341195561364
z,clarity,0.23816528389146935
z,cut,0.31251197593281477
z,depth,0.31786390442166
z,table,0.32912285275251124
z,x,0.38869247550323466
z,y,0.3964099880634682

